actionRay;alert;classification;control;culture;damage;dataPest;daysAdhesiveFloor;daysPheromone;detectionName;id;namePopular;nameScientific;pheromones;photoTime;symptoms;id_imagem;link_imagem
250.0;1;Inseto;2;Milho;3;Tamanho: Cerca de 9 a 12 mm de comprimento. Coloração: Dorso marrom-acinzentado e abdômen (barriga) de cor verde clara, característica que dá nome popular ao inseto. Formato do corpo: Corpo em formato de escudo. Detalhes: Possui espinhos laterais na parte superior do corpo, atrás da cabeça, e uma cabeça triangular. As asas adultas ficam parcialmente escondidas no dorso. ;30;30;sa;1176707;Percevejo Barriga Verde;D. melacanthus e dichelops furcatus;Sa;10:56:00;Ataques ocorrem da emergência até quatro folhas, manifestando danos foliares além da quinta e sexta folha. A perfuração do inseto pode atingir o cartucho, o que pode afetar o ponto de crescimento, causar perfilhamento, folhas deformadas, redução de porte e, até mesmo a morte da planta;1176953, 1176954, 1176955;https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/27112ca7-cebf-11f0-b78f-17ff6e4a26b4.jpg, https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/3c3478e9-cebf-11f0-bd5e-17ff6e4a26b4.jpg, https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/297d5624-cec0-11f0-bb17-4d4bf22bde51.jpg
250.0;1;Inseto;2;Milho;3;"O percevejo-marrom (Euschistus heros) é uma praga de cor marrom ou marrom-escura, que mede cerca de 11 mm na fase adulta. Ele se caracteriza por uma mancha amarelada ou esbranquiçada em forma de ""meia-lua"" no dorso e dois ""chifres"" nas laterais do protórax";30;30;sa;1176711;Percevejo Marrom;Euschistus heros;Sa;11:15:00;seus danos são menos intensos comparados aos do percevejo-barriga-verde, mas também pode apresentar plantas reduzidas e perfurações foliares, resultando no enrolamento de folhas. Essa praga pode ser observada dentro do cartucho, se alimentando nas folhas novas, o que resulta em folhas danificadas e mal-formadas.;1176958, 1176959;https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/8ce87a4a-cec0-11f0-aa9a-4d4bf22bde51.jpg, https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/8d036f90-cec0-11f0-9d70-4d4bf22bde51.jpg
250.0;1;Inseto;2;Milho;3;Os adultos medem mais de 2 cm, têm coloração marrom escura com antenas bicolor e dois pontos ovóides no pronoto (a parte do corpo atrás da cabeça). A fêmea é maior que o macho. Possui uma expansão em sua tíbia (parte da perna) que cobre cerca de 80% dela. ;30;30;sa;1176712;Percevejo Gaúcho;Leptoglossus zonatus;Sa;11:18:00;Percevejo-gaúcho: o dano ocorre na fase de formação de espigas. A praga perfura e suga o conteúdo dos grãos, o que também pode formar uma porta de entrada para umidade e fungos, contribuindo para ocorrência de grãos ardidos ;1176963, 1176964, 1176965;https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/0ae7eb5c-cec1-11f0-a308-4d4bf22bde51.jpg, https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/0b5ef2f4-cec1-11f0-b6b5-4d4bf22bde51.jpg, https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/0b93518b-cec1-11f0-a96e-4d4bf22bde51.jpg
250.0;1;Inseto;2;Milho;3;"Os adultos têm coloração verde e cerca de 1,5 cm, enquanto as ninfas passam por diferentes colorações (preta com manchas brancas, verde com manchas amarelas e vermelha com manchas amareladas) até atingir a fase adulta. Exalam um odor desagradável quando ameaçados, sendo popularmente conhecidos como ""maria-fedida"".";30;30;sa;1176713;Percevejo Verde;Nezara viridula;Sa;11:23:00;Perfuram os tecidos da planta, causando manchas marrons ou enegrecidas nas folhas. Injetam toxinas que causam o chochamento dos grãos. Favorecem a entrada de fungos e bactérias através das perfurações nas vagens, o que pode reduzir a qualidade das sementes. Podem causar queda prematura de flores e frutos. Em casos de infestação severa, podem levar à deformação dos frutos. ;1176969, 1176970, 1176971;https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/ada07d7d-cec1-11f0-a49a-4d4bf22bde51.jpg, https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/adbcf5bb-cec1-11f0-9a5f-4d4bf22bde51.jpg, https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/adff387e-cec1-11f0-b96e-4d4bf22bde51.jpg
250.0;1;Inseto;2;Milho;3;Anotação para plantas daninhas de folha estreita.;30;30;sa;1176714;Daninha Folha Estreita;Daninha Folha Estreita;Sa;13:04:00;Anotação para plantas daninhas de folha estreita.;1176973;https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/c209803c-cecf-11f0-b507-454812d44829.jpg
250.0;1;Inseto;2;Milho;3;Anotação para plantas daninhas de folha larga.;30;30;sa;1176715;Daninha Folha Larga;Daninha Folha Larga;Sa;13:07:00;Anotação para plantas daninhas de folha larga.;1176976, 1176977;https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/033cddf5-ced0-11f0-b385-454812d44829.jpg, https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/0349d284-ced0-11f0-bc3a-454812d44829.jpg
250.0;1;Inseto;2;Milho;3;Retirar foto de folhas ou plantas com sintomas de doenças.;30;30;sa;1176716;Doenças Milho;Doenças milho;Sa;13:09:00;Retirar foto de folhas ou plantas com sintomas de doenças.;1696557, 1696558, 1696559;https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/5c719dfb-ced0-11f0-960e-454812d44829.jpg, https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/5c732d2e-ced0-11f0-8347-4fe4064b907d.jpg, https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/5cbbf2aa-ced0-11f0-b122-4fe4064b907d.jpg
30.0;2;Inseto;4;Milho;5;"Spodoptera frugiperda: Pontuações pretas no dorso; Y invertido na cabeça; 4 pontos próximos ao abdômen.  Spodoptera eridania: possuem coloração escura, com faixas longitudinais amareladas. Spodoptera cosmioides: a cabeça é castanho-amarelada ou alaranjada. Possuem listras amareladas ao longo do corpo, com pontuações brancas e triângulos pretos.";15;30;Spodoptera spp.;16;Lagarta Spodoptera;Spodoptera spp.;Biospodoptera - Spodoptera Frugiperda;07:00:00;"Esta espécie ataca preferencialmente o cartucho, mas também podem ser encontradas atacando plântulas, com hábito semelhante ao da lagarta rosca, espigas e, também, perfurando a base da planta, atingindo o ponto de crescimento e provocando o sintoma de ""coração morto"", típico da elasmo.";1082201, 1082202, 1082203;https://otmis-pragas-armadilhas.s3.amazonaws.com/9c999937-7247-11ed-8094-1bf0c88b45bc.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/a96cea03-7247-11ed-9289-1bf0c88b45bc.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/aaabe972-7247-11ed-9d2e-1bf0c88b45bc.jpg
15.0;2;Inseto;3;Soja;4;"Spodoptera frugiperda: Pontuações pretas no dorso; Y invertido na cabeça; 4 pontos próximos ao abdômen.  Spodoptera eridania: possuem coloração escura, com faixas longitudinais amareladas. Spodoptera cosmioides: a cabeça é castanho-amarelada ou alaranjada. Possuem listras amareladas ao longo do corpo, com pontuações brancas e triângulos pretos.";15;30;Spodoptera spp.;17;Lagarta Spodoptera;Spodoptera spp.;Biospodoptera - Sopodoptera Frugiperda;07:30:00;No início do desenvolvimento da soja poderá haver ataque às plântulas, principalmente por S. frugiperda, refletindo na redução do estande de plantas. Essas lagartas cortam plantas rentes ao solo com sintomas semelhantes ao ataque da lagarta-rosca (Agrotis ipsilon). A S. frugiperda pode atacar também plantas na fase vegetativa, causando desfolha acentuada. Na fase reprodutiva, além da S. frugiperda, recebem importância também as espécies S. eridania e S. cosmioides, as quais além de desfolha, podem causar danos diretos às vagens.;172801, 172802, 172803, 172804;https://otmis-pragas-armadilhas.s3.amazonaws.com/859f58b0-6440-11ed-aa2d-136313761baa.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/858dc9da-6440-11ed-a733-3b0bab896504.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/85b4e26d-6440-11ed-984c-136313761baa.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/a9a0edd1-7246-11ed-8309-db0fb14ffc0c.jpg
250.0;1;Inseto;2;Citrus;3;Os adultos medem de 2 a 3 mm de comprimento, são marrons e têm o corpo coberto por uma substância pulverulenta de cor esbranquiçada. Suas asas são transparentes e, as anteriores, têm manchas escuras com formato irregular, permanecem na face abaxial das folhas novas com a cabeça quase tocando a superfície e formando um ângulo de 45º com o corpo. ;15;0;Psilideo;60051;Psilideo;Diaphorina citri;Não Possui -Somente Armadilha Amarela;14:00:00;Enrolam as folhas, retorcem ou engruvinham os brotos. Em infestações intensas, há o secamento dos ramos e a redução da produção. Expelem líquido açucarado que favorecem o desenvolvimento de fumagina. Podem inocular substâncias tóxicas pelas picadas, além de ser uma praga é um dos vetores da bactéria Candidatus Liberibacter, agente do “greening”.;60116;https://otmis-pragas-armadilhas.s3.us-east-1.amazonaws.com/bc820df0-e56f-11ef-b7b3-8f808b738d89.jpg
