trapId,trapCode,primaryPest,trapType,trapStatus,leituras,max_pest_count,media_pest_count,max_alert_index,surtos_total,missoes_concluidas,missoes_atrasadas,acima_damage_count,primeira_leitura,ultima_leitura,eficacia_missao_pct
1135053,FARMLAB4,Lagarta Spodoptera,CONVENTIONAL,ACTIVE,2,8.0,7.0,15.0,2,7,2,1,2025-11-26,2025-11-26,77.8
1135051,FARMLAB1,Lagarta Spodoptera,CONVENTIONAL,ACTIVE,2,17.0,10.5,15.0,1,7,0,1,2025-11-26,2025-11-26,100.0
1135068,FARMLAB2,Lagarta Spodoptera,CONVENTIONAL,ACTIVE,3,35.0,12.0,15.0,1,6,5,1,2025-12-03,2025-12-03,54.5
1135069,FARMLAB2,Lagarta Spodoptera,CONVENTIONAL,ACTIVE,3,35.0,12.0,15.0,1,0,0,1,2025-12-03,2025-12-03,0.0
1135058,CIGARRINHA2554,Cigarrinha,CONVENTIONAL,ACTIVE,2,95.0,68.0,12.0,2,11,2,1,2025-11-28,2025-11-28,84.6
1135057,CIGARRINHA3,Cigarrinha,CONVENTIONAL,ACTIVE,3,73.0,51.33,12.0,2,13,0,1,2025-11-26,2025-11-26,100.0
1135055,CIGARRINHA1,Cigarrinha,CONVENTIONAL,ACTIVE,2,126.0,64.5,12.0,1,9,1,1,2025-11-26,2025-11-26,90.0
1135054,CIGARRINHA4,Cigarrinha,CONVENTIONAL,ACTIVE,2,121.0,94.5,12.0,2,10,0,2,2025-11-26,2025-11-26,100.0
1135066,CIGARRINHA1654,Cigarrinha,CONVENTIONAL,INACTIVE,3,125.0,56.33,12.0,2,0,0,1,2025-12-01,2025-12-01,0.0
1135073,CIGARRINHA1654,Cigarrinha,CONVENTIONAL,ACTIVE,3,125.0,56.33,12.0,2,8,6,1,2025-12-03,2025-12-03,57.1
1135059,CIGARRINHA0749,Cigarrinha,CONVENTIONAL,ACTIVE,2,141.0,97.5,12.0,2,11,1,1,2025-11-28,2025-11-28,91.7
1135064,CIGARRINHA2,Cigarrinha,CONVENTIONAL,ACTIVE,3,99.0,60.67,12.0,3,12,0,1,2025-11-28,2025-11-28,100.0
1135075,"3,5721E+14",Lagarta Spodoptera,ELECTRONIC,ACTIVE,3,3.0,1.0,10.0,1,0,5,0,2026-02-08,2026-02-25,0.0
1135070,"3,5721E+14",Lagarta Spodoptera,ELECTRONIC,ACTIVE,3,3.0,1.0,10.0,1,0,2,0,2026-02-08,2026-02-25,0.0
1135056,FARMLAB3,Lagarta Spodoptera,CONVENTIONAL,ACTIVE,3,3.0,1.67,10.0,2,8,1,0,2025-11-26,2025-11-26,88.9
248161,"3,5721E+14",Lagarta Spodoptera,ELECTRONIC,INACTIVE,3,3.0,1.0,10.0,1,0,0,0,2026-02-08,2026-02-25,0.0
248160,"3,5721E+14",Lagarta Spodoptera,ELECTRONIC,ACTIVE,3,0.0,0.0,5.0,0,0,0,0,2026-02-08,2026-02-25,0.0
248162,"3,5721E+14",Lagarta Spodoptera,ELECTRONIC,ACTIVE,3,0.0,0.0,5.0,0,0,0,0,2026-02-08,2026-02-25,0.0
248159,"3,5721E+14",Lagarta Spodoptera,ELECTRONIC,INACTIVE,0,,,0.0,0,0,0,0,2025-08-22,2025-08-22,0.0
1135060,"3,5721E+14",Cigarrinha,CONVENTIONAL,INACTIVE,0,,,0.0,0,0,0,0,2025-11-28,2025-11-28,0.0
1135065,CIGARRINHA8164,Cigarrinha,CONVENTIONAL,INACTIVE,0,,,0.0,0,0,0,0,2025-12-01,2025-12-01,0.0
1135071,CIGARRINHA8164,Cigarrinha,CONVENTIONAL,INACTIVE,0,,,0.0,0,0,0,0,2025-12-03,2025-12-03,0.0
1135072,"3,5721E+14",Lagarta Spodoptera,ELECTRONIC,INACTIVE,0,,,0.0,0,0,0,0,2025-12-03,2025-12-03,0.0
1135076,"3,5721E+14",Lagarta Spodoptera,ELECTRONIC,INACTIVE,0,,,0.0,0,0,0,0,2025-12-03,2025-12-03,0.0
